1,2B,410,AER,2965,KZN,2990,,0,CR2,
2,2B,410,ASF,2966,KZN,2990,,0,CR2,
3,2B,410,ASF,2966,MRV,2962,,0,CR2,
4,2B,410,CEK,2968,KZN,2990,,0,CR2,
5,2B,410,CEK,2968,OVB,4078,,0,CR2,
6,2B,410,DME,4029,KZN,2990,,0,CR2,
7,2B,410,DME,4029,NBC,6969,,0,CR2,
8,2B,410,DME,4029,TGK,\N,,0,CR2,
9,2B,410,DME,4029,UUA,6160,,0,CR2,
10,2B,410,EGO,6156,KGD,2952,,0,CR2,
11,2B,410,EGO,6156,KZN,2990,,0,CR2,
12,2B,410,GYD,2922,NBC,6969,,0,CR2,
13,2B,410,KGD,2952,EGO,6156,,0,CR2,
14,2B,410,KZN,2990,AER,2965,,0,CR2,
15,2B,410,KZN,2990,ASF,2966,,0,CR2,
16,2B,410,KZN,2990,CEK,2968,,0,CR2,
17,2B,410,KZN,2990,DME,4029,,0,CR2,
18,2B,410,KZN,2990,EGO,6156,,0,CR2,
19,2B,410,KZN,2990,LED,2948,,0,CR2,
20,2B,410,KZN,2990,SVX,2975,,0,CR2,
21,2B,410,LED,2948,KZN,2990,,0,CR2,
22,2B,410,LED,2948,NBC,6969,,0,CR2,
23,2B,410,LED,2948,UUA,6160,,0,CR2,
24,2B,410,MRV,2962,ASF,2966,,0,CR2,
25,2B,410,NBC,6969,DME,4029,,0,CR2,
26,2B,410,NBC,6969,GYD,2922,,0,CR2,
27,2B,410,NBC,6969,LED,2948,,0,CR2,
28,2B,410,NBC,6969,SVX,2975,,0,CR2,
29,2B,410,NJC,2972,SVX,2975,,0,CR2,
30,2B,410,NJC,2972,UUA,6160,,0,CR2,
31,2B,410,NUX,4364,SVX,2975,,0,CR2,
32,2B,410,OVB,4078,CEK,2968,,0,CR2,
33,2B,410,OVB,4078,SVX,2975,,0,CR2,
34,2B,410,SVX,2975,KZN,2990,,0,CR2,
35,2B,410,SVX,2975,NBC,6969,,0,CR2,
36,2B,410,SVX,2975,NJC,2972,,0,CR2,
37,2B,410,SVX,2975,NUX,4364,,0,CR2,
38,2B,410,SVX,2975,OVB,4078,,0,CR2,
39,2B,410,TGK,\N,DME,4029,,0,CR2,
40,2B,410,UUA,6160,DME,4029,,0,CR2,
41,2B,410,UUA,6160,LED,2948,,0,CR2,
42,2B,410,UUA,6160,NJC,2972,,0,CR2,
43,2G,1654,BTK,2936,IKT,2937,,0,A81,
44,2G,1654,BTK,2936,OVB,4078,,0,A81,
45,2G,1654,CEK,2968,OVB,4078,,0,A81,
46,2G,1654,HTA,2935,IKT,2937,,0,AN4,
47,2G,1654,IKT,2937,BTK,2936,,0,A81,
48,2G,1654,IKT,2937,HTA,2935,,0,AN4,
49,2G,1654,IKT,2937,KCK,\N,,0,AN4,
50,2G,1654,IKT,2937,ODO,8944,,0,AN4,
51,2G,1654,IKT,2937,OVB,4078,,0,A81,
52,2G,1654,IKT,2937,UKX,6924,,0,AN4,
53,2G,1654,IKT,2937,ULK,9026,,0,AN4,
54,2G,1654,IKT,2937,YKS,2923,,0,A81,
55,2G,1654,KCK,\N,IKT,2937,,0,AN4,
56,2G,1654,MJZ,2925,OVB,4078,,0,A81,
57,2G,1654,ODO,8944,IKT,2937,,0,AN4,
58,2G,1654,OVB,4078,BTK,2936,,0,A81,
59,2G,1654,OVB,4078,CEK,2968,,0,A81,
60,2G,1654,OVB,4078,IKT,2937,,0,A81,
61,2G,1654,UKX,6924,IKT,2937,,0,AN4,
62,2G,1654,ULK,9026,IKT,2937,,0,AN4,
63,2G,1654,YKS,2923,IKT,2937,,0,A81,
64,2I,8359,AYP,2786,LIM,2789,,0,142,
65,2I,8359,CUZ,2812,LIM,2789,,0,142 141,
66,2I,8359,CUZ,2812,PEM,2808,,0,142,
67,2I,8359,HUU,6067,LIM,2789,,0,141,
68,2I,8359,IQT,2801,PCL,2781,,0,143,
69,2I,8359,IQT,2801,TPP,2806,,0,142,
70,2I,8359,LIM,2789,AYP,2786,,0,142,
71,2I,8359,LIM,2789,CUZ,2812,,0,142 141,
72,2I,8359,LIM,2789,HUU,6067,,0,141,
73,2I,8359,LIM,2789,PCL,2781,,0,143 146,
74,2I,8359,LIM,2789,TPP,2806,,0,142 146,
75,2I,8359,PCL,2781,IQT,2801,,0,143,
76,2I,8359,PCL,2781,LIM,2789,,0,143 146,
77,2I,8359,PCL,2781,TPP,2806,,0,146,
78,2I,8359,PEM,2808,CUZ,2812,,0,142,
79,2I,8359,TPP,2806,IQT,2801,,0,142,
80,2I,8359,TPP,2806,LIM,2789,,0,142 146,
81,2I,8359,TPP,2806,PCL,2781,,0,146,
82,2J,470,ABJ,253,BOY,247,,0,CRJ,
83,2J,470,ABJ,253,OUA,246,,0,E70 CRJ M87,
84,2J,470,ACC,248,OUA,246,,0,CRJ,
85,2J,470,BKO,1044,ABJ,253,,0,M87,
86,2J,470,BKO,1044,DKR,1084,,0,M87,
87,2J,470,BKO,1044,OUA,246,,0,CRJ,
88,2J,470,BOY,247,ABJ,253,,0,CRJ,
89,2J,470,BOY,247,OUA,246,,0,CRJ,
90,2J,470,COO,245,LFW,298,,0,M87,
91,2J,470,COO,245,OUA,246,,0,M87,
92,2J,470,DKR,1084,BKO,1044,,0,M87,
93,2J,470,DKR,1084,OUA,246,,0,M87,
94,2J,470,LFW,298,OUA,246,,0,M87 CRJ,
95,2J,470,NIM,280,OUA,246,,0,CRJ,
96,2J,470,OUA,246,ABJ,253,,0,E70 CRJ M87,
97,2J,470,OUA,246,ACC,248,,0,CRJ,
98,2J,470,OUA,246,BKO,1044,,0,M87 CRJ,
99,2J,470,OUA,246,BOY,247,,0,CRJ,
100,2J,470,OUA,246,COO,245,,0,M87,
